N,MSW93_Order,MSW93_Family,MSW93_Genus,MSW93_Species,MSW93_Binomial,1-1_ActivityCycle,5-1_AdultBodyMass_g,8-1_AdultForearmLen_mm,13-1_AdultHeadBodyLen_mm,2-1_AgeatEyeOpening_d,3-1_AgeatFirstBirth_d,18-1_BasalMetRate_mLO2hr,5-2_BasalMetRateMass_g,6-1_DietBreadth,7-1_DispersalAge_d,9-1_GestationLen_d,12-1_HabitatBreadth,22-1_HomeRange_km2,22-2_HomeRange_Indiv_km2,14-1_InterBirthInterval_d,15-1_LitterSize,16-1_LittersPerYear,17-1_MaxLongevity_m,5-3_NeonateBodyMass_g,13-2_NeonateHeadBodyLen_mm,21-1_PopulationDensity_n/km2,10-1_PopulationGrpSize,23-1_SexualMaturityAge_d,10-2_SocialGrpSize,24-1_TeatNumber,12-2_Terrestriality,6-2_TrophicLevel,25-1_WeaningAge_d,5-4_WeaningBodyMass_g,13-3_WeaningHeadBodyLen_mm,5-5_AdultBodyMass_g_EXT,16-2_LittersPerYear_EXT,5-6_NeonateBodyMass_g_EXT,5-7_WeaningBodyMass_g_EXT,26-1_GR_Area_km2,26-2_GR_MaxLat_dd,26-3_GR_MinLat_dd,26-4_GR_MRLat_dd,26-5_GR_MaxLong_dd,26-6_GR_MinLong_dd,26-7_GR_MRLong_dd,27-1_HuPopDen_Min_n/km2,27-2_HuPopDen_Mean_n/km2,27-3_HuPopDen_5p_n/km2,27-4_HuPopDen_Change,28-1_Precip_Mean_mm,28-2_Temp_Mean_01degC,30-1_AET_Mean_mm,30-2_PET_Mean_mm
1,Rodentia,Muridae,Abditomys,latidens,Abditomys_latidens,NA,268,NA,223.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357,16.94,16.74,16.84,120.97,120.78,120.88,93,93,93,0.09,316,180,1443,1557
2,Rodentia,Muridae,Abrawayaomys,ruschii,Abrawayaomys_ruschii,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126137,-15.09,-19.84,-17.47,-40.52,-43.56,-42.04,5,21.21,7,0.06,107.06,209.1,1084.47,1402.39
3,Rodentia,Abrocomidae,Abrocoma,bennettii,Abrocoma_bennettii,1,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,4.86,NA,27.6,NA,NA,142,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,54616,-27.71,-35.58,-31.64,-69.4,-71.7,-70.55,0,63.15,1,0.07,20.44,17.66,213.09,1073.78
4,Rodentia,Abrocomidae,Abrocoma,boliviensis,Abrocoma_boliviensis,NA,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5774,-17.44,-18.05,-17.75,-63.49,-64.51,-64,5,29.24,5,0.04,82.63,175.55,1171.61,1487.33
5,Rodentia,Abrocomidae,Abrocoma,cinerea,Abrocoma_cinerea,NA,194,NA,NA,NA,NA,NA,NA,NA,NA,109.64,3,NA,NA,NA,2.2,NA,NA,13.3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,381391,-14.43,-24.35,-19.39,-64.27,-70.6,-67.43,0,13.72,0,0.06,48.46,35.22,515.1,1257.35
6,Chiroptera,Pteropodidae,Acerodon,celebensis,Acerodon_celebensis,NA,382,133.49,201.55,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,173613,3.74,-6.49,-1.37,126.34,118.75,122.55,5,92.68,17,0.07,229.41,215.47,1812.6,1909.15
7,Chiroptera,Pteropodidae,Acerodon,humilis,Acerodon_humilis,NA,NA,139.99,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,352,NA,NA,NA,87,4.04,3.81,3.93,126.73,126.6,126.67,109,109,109,0,NA,NA,NA,NA
8,Chiroptera,Pteropodidae,Acerodon,jubatus,Acerodon_jubatus,NA,1090,191.44,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,1000,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,261661,18.65,5.55,12.1,126.6,119.74,123.17,19,238.14,34,0.1,202.52,242.33,1471.66,1734.15
9,Chiroptera,Pteropodidae,Acerodon,leucotis,Acerodon_leucotis,NA,NA,139.53,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,349,NA,NA,NA,12832,12.33,7.8,10.06,120.34,116.93,118.63,22,43.33,25,0.21,224,249.78,NA,NA
10,Chiroptera,Pteropodidae,Acerodon,lucifer,Acerodon_lucifer,NA,NA,164.74,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Chiroptera,Pteropodidae,Acerodon,mackloti,Acerodon_mackloti,NA,464,145.49,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,0.98,NA,NA,NA,NA,NA,400,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,74771,-8.06,-10.37,-9.22,127.3,115.83,121.57,23,107.08,23,0.08,204.54,243.2,NA,NA
12,Carnivora,Felidae,Acinonyx,jubatus,Acinonyx_jubatus,3,50500,NA,1488.93,9.03,1217.27,17115,48900,1,464.99,92.24,1,89.2,80.3,547.5,2.99,NA,228,442,250,0.01,NA,636.19,NA,12,1,3,88.63,NA,NA,NA,0.9,NA,NA,10586307,37.72,-29.22,4.24,60.82,-14.91,22.95,0,19.88,0,0.11,51.26,230.83,595.06,1499.04
13,Rodentia,Muridae,Acomys,cahirinus,Acomys_cahirinus,1,41.2,NA,NA,7,103,NA,NA,NA,NA,38.54,NA,0.000886,0.000779,34,2.43,7.6,60,5.49,42.99,2330,NA,44.98,NA,NA,NA,NA,14,12.3,NA,NA,NA,NA,NA,16751936,38.08,1.03,19.56,61.47,-17.53,21.97,0,24.33,0,0.11,18.25,239.4,243.77,1348.26
14,Rodentia,Muridae,Acomys,cilicicus,Acomys_cilicicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404,37.01,36.79,36.9,34.73,34.5,34.62,92,93.5,92,0.14,48.02,154.1,362,1241.33
15,Rodentia,Muridae,Acomys,cinerasceus,Acomys_cinerasceus,NA,NA,NA,85.23,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2,NA,NA,NA,2425771,15.81,2.25,9.03,36.14,-2.82,16.66,0,28.64,2,0.1,63.74,260.72,728.76,1644.6
16,Rodentia,Muridae,Acomys,ignitus,Acomys_ignitus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156582,-0.54,-5.8,-3.17,40.81,36.26,38.54,2,76.82,4,0.16,64.98,239.82,941.97,1662.28
17,Rodentia,Muridae,Acomys,kempi,Acomys_kempi,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358018,4.33,-4.7,-0.18,44.16,38.34,41.25,1,19.54,1,0.07,42.35,271.57,622.27,1739.37
18,Rodentia,Muridae,Acomys,louisae,Acomys_louisae,NA,20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320805,11.78,5.8,8.79,50.56,42.74,46.65,1,9.89,3,0.06,14.54,248.35,232.32,1758.07
19,Rodentia,Muridae,Acomys,minous,Acomys_minous,NA,62.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8191,35.69,34.92,35.31,26.31,23.52,24.91,0,58.49,0,0.02,51.8,163.8,NA,NA
20,Rodentia,Muridae,Acomys,mullah,Acomys_mullah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152076,11.42,7.63,9.52,46.16,41.76,43.96,4,24.68,6,0.09,32.6,231.82,506.1,1706.27
21,Rodentia,Muridae,Acomys,nesiotes,Acomys_nesiotes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9294,35.7,34.56,35.13,34.59,32.27,33.43,43,72.41,43,0.09,40.19,183.55,NA,NA
22,Rodentia,Muridae,Acomys,percivali,Acomys_percivali,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,686807,6.29,-1.77,2.25,42.49,32.11,37.3,1,29.12,1,0.08,54.73,240.95,825.98,1524.06
23,Rodentia,Muridae,Acomys,russatus,Acomys_russatus,3,42.4,NA,111.08,NA,NA,NA,NA,NA,NA,NA,NA,0.000493,0.000432,NA,2.49,NA,NA,NA,NA,3430,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,800321,33.09,12.59,22.84,48.41,30.59,39.5,0,104.38,1,0.18,9.2,214.39,140.58,1406.5
24,Rodentia,Muridae,Acomys,spinosissimus,Acomys_spinosissimus,NA,26.5,NA,NA,NA,NA,44.12,27.02,NA,NA,NA,NA,NA,NA,NA,2.71,NA,NA,NA,NA,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2826979,-2.87,-27.3,-15.08,40.84,23.93,32.38,0,30.43,2,0.16,73.43,218.6,827.26,1462.67
25,Rodentia,Muridae,Acomys,subspinosus,Acomys_subspinosus,1,21.9,NA,NA,NA,NA,83.43,32.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126596,-30.84,-34.83,-32.84,24.78,17.84,21.31,0,47.95,1,0.08,30.22,155.89,433.76,1135.82
26,Rodentia,Muridae,Acomys,wilsoni,Acomys_wilsoni,NA,18.5,NA,80.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.29,7.9,NA,3.5,39.99,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,1322638,11.98,-6.04,2.96,51.41,31.01,41.21,1,30.65,1,0.09,46.08,251.31,659.51,1664.72
27,Rodentia,Octodontidae,Aconaemys,fuscus,Aconaemys_fuscus,2,130,NA,NA,NA,NA,120.96,112,2,NA,NA,2,NA,NA,NA,3.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,112645,-33.02,-41.44,-37.23,-69.42,-73.45,-71.43,1,46.61,2,0.07,67.68,59.96,544.68,931.07
28,Rodentia,Octodontidae,Aconaemys,sagei,Aconaemys_sagei,3,96.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,10262,-38.66,-40.15,-39.41,-71.09,-73.04,-72.06,2,20.25,2,0.11,91.85,83.77,703.44,903.46
29,Diprotodontia,Acrobatidae,Acrobates,pygmaeus,Acrobates_pygmaeus,NA,13.9,NA,NA,65,212.91,14938,14,3,NA,NA,NA,0.006,NA,183,2.8,2,86.4,0.01,NA,900,NA,246.81,25,4,NA,2,97.5,3.45,NA,NA,NA,NA,NA,1691399,-10.69,-39.13,-24.91,153.63,138.09,145.86,0,12.18,0,0.04,61.57,185.7,673.13,1288.68
30,Artiodactyla,Bovidae,Addax,nasomaculatus,Addax_nasomaculatus,1,94700,NA,NA,NA,1066.86,NA,NA,5,NA,262.74,1,NA,NA,360,1,NA,308.04,5650,NA,0.06,61.3,NA,12.62,4,1,1,NA,NA,NA,NA,1.12,NA,NA,1168709,26.45,14.6,20.52,32.63,-16.77,7.93,0,1.49,0,0.08,5.51,264.48,130.78,1382.39
31,Rodentia,Muridae,Aepeomys,fuscatus,Aepeomys_fuscatus,NA,49.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79798,8.61,1.67,5.14,-73.92,-77.27,-75.6,6,82.11,10,0.09,192.38,201.2,1516.71,1597.12
32,Rodentia,Muridae,Aepeomys,lugens,Aepeomys_lugens,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,83652,9.49,1.39,5.44,-69.76,-76.35,-73.05,2,76.3,5,0.09,104.03,191.5,1406.36,1535.31
33,Artiodactyla,Bovidae,Aepyceros,melampus,Aepyceros_melampus,3,52300,NA,1419.99,NA,730,NA,NA,2,NA,196.74,1,1.99,2.18,365,1,NA,213,5240,NA,13,NA,394.41,15.25,4,1,1,150,14600,NA,NA,1.11,NA,NA,3926869,2.58,-28.42,-12.91,40.84,11.71,26.27,0,37.6,1,0.15,73.05,216.36,841.64,1480.32
34,Diprotodontia,Potoroidae,Aepyprymnus,rufescens,Aepyprymnus_rufescens,1,2800,NA,NA,NA,319.37,1111.23,2845,NA,NA,22.89,NA,NA,NA,117,1,3,96,NA,NA,40,NA,294.64,NA,NA,NA,NA,163.99,NA,NA,NA,NA,NA,NA,641275,-15.85,-36.56,-26.2,153.63,143.95,148.79,0,8.87,0,0.06,69.59,194.53,812.51,1432.31
35,Rodentia,Sciuridae,Aeretes,melanopterus,Aeretes_melanopterus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80789,40.21,30.62,35.41,116.38,101.59,108.99,6,128.61,10,0.06,65.15,75.27,662.48,826.29
36,Rodentia,Sciuridae,Aeromys,tephromelas,Aeromys_tephromelas,1,1190,NA,381.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283379,7.03,-1.85,2.59,117.88,98,107.94,2,96.45,4,0.17,239.02,246.03,1675.18,1753.56
37,Rodentia,Sciuridae,Aeromys,thomasi,Aeromys_thomasi,1,1430,NA,340.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122622,6.49,-1.08,2.7,117.84,110.02,113.93,1,18.59,2,0.2,285.05,243.11,1689.44,1711.46
38,Chiroptera,Pteropodidae,Aethalops,alecto,Aethalops_alecto,NA,15,45.99,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,131582,6.4,-8.96,-1.27,117.13,99.87,108.5,3,236.54,5,0.14,254.07,239.57,1738.43,1828.87
39,Rodentia,Muridae,Aethomys,bocagei,Aethomys_bocagei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133884,-7.75,-13,-10.38,15.86,12.98,14.42,5,40.77,5,0.15,82.98,217.57,971.52,1543.16
40,Rodentia,Muridae,Aethomys,chrysophilus,Aethomys_chrysophilus,NA,82.3,NA,141.89,11.25,138,NA,NA,NA,NA,26.2,NA,NA,NA,NA,3.09,NA,NA,4.44,NA,66.1,NA,84.95,NA,NA,NA,NA,24.73,31,NA,NA,NA,NA,NA,5508479,-0.06,-33.43,-16.74,40.84,11.71,26.27,0,27.39,1,0.14,66.56,210.53,756.84,1442.8
41,Rodentia,Muridae,Aethomys,granti,Aethomys_granti,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141399,-30.23,-32.92,-31.57,25.64,19.35,22.49,0,1.8,0,0.09,19.65,157.45,329.72,1018.06
42,Rodentia,Muridae,Aethomys,hindei,Aethomys_hindei,NA,141,NA,NA,NA,NA,NA,NA,NA,NA,24.69,NA,0.000617,0.000551,NA,2.05,NA,NA,NA,NA,2210,NA,56.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2209180,10.07,-4.58,2.74,40.54,11.65,26.09,0,29.39,1,0.09,101.33,242.37,1118.11,1603
43,Rodentia,Muridae,Aethomys,kaiseri,Aethomys_kaiseri,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,2.91,NA,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,25.99,39.7,NA,NA,NA,NA,NA,2751634,-0.54,-17.04,-8.79,36.88,16.11,26.49,1,26.34,2,0.2,97,218.7,948.67,1485.93
44,Rodentia,Muridae,Aethomys,namaquensis,Aethomys_namaquensis,1,57.2,NA,NA,12,NA,48.13,57.3,NA,NA,21.99,NA,NA,NA,NA,3.5,2,NA,2.5,NA,1380,NA,NA,NA,NA,NA,NA,27.46,12.5,NA,NA,NA,NA,NA,3334237,-13.4,-32.92,-23.16,38.07,13.96,26.01,0,19.5,0,0.12,49.06,201.75,624.94,1360.42
45,Rodentia,Muridae,Aethomys,nyikae,Aethomys_nyikae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1442818,-6.9,-19.85,-13.37,35.41,16.48,25.94,1,16.83,2,0.18,100.31,221.21,910.84,1451.97
46,Rodentia,Muridae,Aethomys,silindensis,Aethomys_silindensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77194,-17.4,-21.31,-19.36,34.43,31.74,33.09,5,28.27,5,0.2,89,220.69,932.92,1411.12
47,Rodentia,Muridae,Aethomys,stannarius,Aethomys_stannarius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285523,12.57,7.47,10.02,13.87,7.55,10.71,5,79.16,8,0.12,88.53,258.7,842.93,1658.52
48,Rodentia,Muridae,Aethomys,thomasi,Aethomys_thomasi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189060,-9.48,-15.65,-12.57,18,13.42,15.71,1,16.37,1,0.13,98.49,201.86,923.19,1345.29
49,Rodentia,Agoutidae,Agouti,paca,Agouti_paca,1,8180,NA,650.78,0,NA,2746.8,9156,5,NA,116.24,2,NA,NA,191,1,1.75,192,674,NA,49,NA,309.61,1,8,1,1,82.48,NA,NA,NA,NA,NA,NA,12381980,22.4,-30.12,-3.86,-36.57,-99.6,-68.08,0,23.54,0,0.12,154.72,239.8,1319.82,1532.39
50,Rodentia,Agoutidae,Agouti,taczanowskii,Agouti_taczanowskii,1,9000,NA,NA,NA,NA,NA,NA,4,NA,NA,2,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,8,1,1,NA,NA,NA,NA,NA,NA,NA,392200,9.8,-14.53,-2.36,-68.94,-80.13,-74.54,1,48.14,2,0.1,157.32,191.81,1318.39,1498.95
51,Carnivora,Ursidae,Ailuropoda,melanoleuca,Ailuropoda_melanoleuca,2,118000,NA,1353.7,44,NA,NA,NA,3,539.99,135,1,3.56,3.17,638.75,1.7,NA,360,104,NA,0.18,NA,2100.69,NA,NA,1,1,177.81,22000,NA,NA,0.84,NA,NA,36207,34.01,27.51,30.76,108.79,100.77,104.78,7,103.55,8,0.05,101.81,65.51,757.25,907.75
52,Diprotodontia,Phalangeridae,Ailurops,ursinus,Ailurops_ursinus,1,10000,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,175900,1.75,-5.7,-1.97,125.29,118.75,122.02,17,93.46,17,0.08,229.47,215.95,1812.6,1909.15
53,Carnivora,Ursidae,Ailurus,fulgens,Ailurus_fulgens,2,5170,NA,583.4,18,760.41,838.36,5345,3,270,131.5,1,1.44,1.28,365,2,1,168,104,NA,NA,NA,518.48,NA,4,1,1,136.87,NA,NA,NA,NA,NA,NA,1075371,35.36,21.41,28.38,106.15,82.62,94.38,1,51.8,2,0.07,131.93,44.73,828.72,1043.82
54,Rodentia,Muridae,Akodon,aerosus,Akodon_aerosus,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160800,-1.49,-16.2,-8.85,-67.65,-78.17,-72.91,1,10.09,1,0.11,200.29,194.43,1341.01,1442.62
55,Rodentia,Muridae,Akodon,affinis,Akodon_affinis,2,24.9,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,55130,10.29,0.89,5.59,-75.01,-77.82,-76.41,7,101.85,11,0.11,202.1,210.03,1499.05,1626.2
56,Rodentia,Muridae,Akodon,albiventer,Akodon_albiventer,3,26,NA,NA,NA,NA,46.5,31,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,425856,-15.25,-26.78,-21.02,-64.2,-71.33,-67.76,0,13.16,0,0.06,43.02,31.73,511.33,1260.37
57,Rodentia,Muridae,Akodon,azarae,Akodon_azarae,2,25.3,NA,NA,NA,NA,39.95,23.5,4,NA,23.06,2,NA,NA,NA,4.59,1.25,NA,NA,NA,7790,NA,53.86,NA,NA,1,2,14.36,NA,NA,NA,NA,NA,NA,1071237,-20.62,-38.69,-29.65,-53.53,-67.94,-60.74,0,27.8,1,0.07,76.67,177.53,877.56,1078.08
58,Rodentia,Muridae,Akodon,bogotensis,Akodon_bogotensis,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117249,10.03,2.08,6.06,-69.82,-75.42,-72.62,2,73.76,5,0.09,109.88,201.66,1394.45,1555.13
59,Rodentia,Muridae,Akodon,boliviensis,Akodon_boliviensis,2,27.5,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,4.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,530196,-12.06,-29.36,-20.71,-63.19,-75.04,-69.11,0,16.56,1,0.08,80.06,97.74,783.36,1337.88
60,Rodentia,Muridae,Akodon,budini,Akodon_budini,NA,26.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20316,-22.15,-24.75,-23.45,-65.46,-66.7,-66.08,0,3.67,0,0.15,40.9,-11.27,582.44,1257.52
61,Rodentia,Muridae,Akodon,cursor,Akodon_cursor,1,39.8,NA,74.99,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,449,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1450284,-15.07,-29.44,-22.26,-41.26,-61.47,-51.37,0,70.49,0,0.06,123.19,205.84,1156.24,1307.89
62,Rodentia,Muridae,Akodon,dayi,Akodon_dayi,1,32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290923,-10.54,-18.8,-14.67,-62.35,-68.85,-65.6,0,12.66,0,0.2,95.97,208.81,1245.51,1479.63
63,Rodentia,Muridae,Akodon,dolores,Akodon_dolores,NA,50.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,NA,NA,2.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72178,-28.45,-33.78,-31.11,-63.04,-65.84,-64.44,2,20.82,2,0.09,55.24,161.5,677.35,1013.7
64,Rodentia,Muridae,Akodon,fumeus,Akodon_fumeus,NA,22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176335,-13.25,-22.46,-17.86,-63.17,-70.47,-66.82,1,19.59,1,0.11,103.06,153.05,1030.19,1433.39
65,Rodentia,Muridae,Akodon,hershkovitzi,Akodon_hershkovitzi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1776,-53.65,-55.9,-54.77,-67.25,-70.89,-69.07,0,3.34,0,0.02,35.19,36.26,NA,NA
66,Rodentia,Muridae,Akodon,illuteus,Akodon_illuteus,NA,47.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35360,-23.57,-27.53,-25.55,-64.95,-66.51,-65.73,0,17.82,1,0.08,57.04,41.89,629.18,1280.01
67,Rodentia,Muridae,Akodon,iniscatus,Akodon_iniscatus,NA,28.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,395417,-38.89,-50.2,-44.54,-64.95,-73.05,-69,0,2.05,0,0.13,21.27,90.68,278.4,587.96
